date,store_name,store_id,total_signals,unique_visits,device_id,lat,lon,addidas,apple,bmw,employed,female,h_&_m,high_income,honda,job_seeking,low_income,male,mercedes-benz,middle_income,retired,student,tommy_helfinger
2021-01-02,Kaufland,place_223,4,4,95301,210.1929514,54.0205821,0,0,0,1,0,0,0,0,0,1,4,0,3,1,0,0
2021-01-02,Kaufland,place_224,8,7,306427,367.64890859999997,92.3036692,1,1,1,1,0,0,0,0,0,3,7,0,4,0,0,0
2021-01-02,Kaufland,place_225,3,2,76791,104.924242,26.7349047,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0
2021-01-02,Kaufland,place_226,4,3,103882,157.60234,40.36905,0,0,0,1,0,0,1,1,0,0,3,0,2,0,0,0
2021-01-02,Kaufland,place_227,2,2,30242,105.0586447,26.428615800000003,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0
2021-01-02,McDonald's,place_13,2,1,11704,52.5528195,13.5437178,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
2021-01-02,McDonald's,place_3,2,1,12726,52.4197968,13.3130927,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-02,McDonald's,place_33,1,1,26395,52.52578000000001,13.368497,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-02,McDonald's,place_8,1,1,8857,52.35859,13.43302,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-02,Mercedes,place_234,1,1,30542,52.45969399999999,13.329314000000002,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-02,Rewe,place_138,4,4,99710,210.7084033,54.1781983,1,0,0,1,0,0,1,0,1,0,4,0,3,0,0,0
2021-01-02,Rewe,place_139,1,1,3339,52.45844,13.29249,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2021-01-02,Rewe,place_141,2,2,38514,105.22993290000002,26.4873697,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0
2021-01-02,Rewe,place_144,2,1,932,52.44610060000001,13.564287300000002,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2021-01-02,Rewe,place_146,2,2,53499,105.10037,27.15683,0,1,0,0,0,1,0,0,0,0,2,0,2,0,0,0
2021-01-02,Rewe,place_148,2,1,44866,52.498178,13.521638,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-02,Rewe,place_153,2,2,67252,105.0876207,26.9816177,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0
2021-01-02,Rewe,place_154,1,1,53689,52.42512,13.58442,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2021-01-02,Rewe,place_156,2,1,35317,52.48363000000001,13.37736,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-02,Rewe,place_164,1,1,40030,52.5662844,13.3952768,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
2021-01-02,Rewe,place_175,1,1,30356,52.51349570000001,13.2877756,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2021-01-02,Rewe,place_178,2,1,49145,52.38718770000001,13.263002599999998,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-02,Rewe,place_179,2,1,32256,52.52828,13.568929999999998,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2021-01-02,Rewe,place_180,2,2,89039,104.8015425,26.543422800000002,0,0,1,0,0,0,0,0,0,0,2,1,2,0,0,0
