device_id,lat,lon,date,store_id,store_name
41282,52.48534,13.36821,2021-01-01,place_238,Renault
78319,52.48539,13.368412,2021-01-05,place_238,Renault
78319,52.485324,13.368606,2021-01-11,place_238,Renault
78319,52.485392,13.368405,2021-01-18,place_238,Renault
78319,52.485362,13.368547,2021-01-19,place_238,Renault
78319,52.485372,13.368071,2021-01-19,place_238,Renault
78319,52.485367,13.368768,2021-01-20,place_238,Renault
7065,52.48532,13.368429999999998,2021-01-07,place_238,Renault
7065,52.48536,13.36845,2021-01-15,place_238,Renault
7065,52.48532,13.36842,2021-01-18,place_238,Renault
38190,52.485382,13.368311,2021-01-13,place_238,Renault
44659,52.48532660000001,13.3684866,2021-01-18,place_238,Renault
8549,52.6149546,13.2439761,2021-01-01,place_141,Rewe
33912,52.61502170000001,13.243669699999998,2021-01-02,place_141,Rewe
4602,52.61491120000001,13.2437,2021-01-02,place_141,Rewe
4602,52.6149894,13.243711,2021-01-14,place_141,Rewe
32207,52.61505,13.24377,2021-01-04,place_141,Rewe
83416,52.614961,13.243896,2021-01-05,place_141,Rewe
21904,52.61496999999999,13.24384,2021-01-07,place_141,Rewe
32024,52.61496999999999,13.24384,2021-01-07,place_141,Rewe
28363,52.61494,13.2438,2021-01-08,place_141,Rewe
48105,52.61502900000001,13.243842,2021-01-08,place_141,Rewe
268,52.6150226,13.2436606,2021-01-09,place_141,Rewe
42306,52.61501,13.24366,2021-01-12,place_141,Rewe
84794,52.61499,13.2439,2021-01-12,place_141,Rewe
36114,52.6148707,13.2438321,2021-01-12,place_141,Rewe
36114,52.6148425,13.243808,2021-01-12,place_141,Rewe
36114,52.5676768,13.3285666,2021-01-16,place_213,Kaufland
36114,52.5676725,13.3286101,2021-01-16,place_213,Kaufland
57180,52.61490500000001,13.2440046,2021-01-12,place_141,Rewe
41016,52.6149,13.24387,2021-01-14,place_141,Rewe
10342,52.614944,13.243902,2021-01-19,place_141,Rewe
173974,52.614937,13.2438114,2021-01-21,place_141,Rewe
47558,52.4088446,13.370405900000002,2021-01-01,place_50,Burger King
47558,52.4922796,13.4306328,2021-01-13,place_109,Aldi
47558,52.4922451,13.4306068,2021-01-13,place_109,Aldi
47558,52.4924861,13.4306975,2021-01-13,place_109,Aldi
47558,52.49221170000001,13.4306478,2021-01-14,place_109,Aldi
47558,52.4922558,13.4305204,2021-01-15,place_109,Aldi
47558,52.4923267,13.4308711,2021-01-16,place_109,Aldi
47558,52.492415,13.4307335,2021-01-18,place_109,Aldi
47558,52.4921747,13.4305704,2021-01-19,place_109,Aldi
47558,52.49208960000001,13.430551800000002,2021-01-19,place_109,Aldi
47558,52.4924116,13.4307255,2021-01-19,place_109,Aldi
47558,52.49219640000001,13.4305179,2021-01-20,place_109,Aldi
47558,52.4921259,13.4305152,2021-01-20,place_109,Aldi
47558,52.4921259,13.4305152,2021-01-20,place_109,Aldi
47558,52.4924245,13.430714000000002,2021-01-20,place_109,Aldi
47558,52.4923103,13.430715300000005,2021-01-21,place_109,Aldi
47558,52.49220620000001,13.4305586,2021-01-21,place_109,Aldi
8954,52.4087887,13.3702535,2021-01-06,place_50,Burger King
54895,52.4088897,13.3702918,2021-01-15,place_50,Burger King
40894,52.4198027,13.3130986,2021-01-01,place_3,McDonald's
40894,52.419804,13.313097699999998,2021-01-01,place_3,McDonald's
40894,52.4222918,13.311893,2021-01-01,place_42,Burger King
40894,52.4222918,13.311893,2021-01-01,place_42,Burger King
40894,52.4222918,13.311893,2021-01-01,place_42,Burger King
40894,52.4222918,13.311893,2021-01-01,place_42,Burger King
12726,52.4197968,13.3130927,2021-01-02,place_3,McDonald's
12726,52.4198412,13.3131842,2021-01-02,place_3,McDonald's
12726,52.4197332,13.3131345,2021-01-15,place_3,McDonald's
12726,52.4197915,13.3130167,2021-01-15,place_3,McDonald's
12726,52.4197985,13.3130837,2021-01-15,place_3,McDonald's
12726,52.419798,13.3130837,2021-01-15,place_3,McDonald's
12726,52.4197978,13.3130791,2021-01-15,place_3,McDonald's
12726,52.41979620000001,13.3130169,2021-01-17,place_3,McDonald's
12726,52.4198085,13.3130584,2021-01-17,place_3,McDonald's
35443,52.419899,13.3133,2021-01-06,place_3,McDonald's
109646,52.419899,13.3133,2021-01-08,place_3,McDonald's
109646,52.419899,13.3133,2021-01-08,place_3,McDonald's
17751,52.4198033,13.313074800000004,2021-01-08,place_3,McDonald's
17751,52.419804600000006,13.3130719,2021-01-08,place_3,McDonald's
17751,52.42332329999999,13.3123032,2021-01-04,place_220,Kaufland
17751,52.4230479,13.3122837,2021-01-11,place_220,Kaufland
10593,52.4197751,13.312947,2021-01-08,place_3,McDonald's
10593,52.4230576,13.3124827,2021-01-16,place_220,Kaufland
10593,52.4232714,13.31206,2021-01-16,place_220,Kaufland
10593,52.4198676,13.3144786,2021-01-07,place_61,Aldi
28790,52.4199165,13.313277599999996,2021-01-09,place_3,McDonald's
43390,52.419828,13.31315,2021-01-20,place_3,McDonald's
25618,52.41982410000001,13.3130587,2021-01-21,place_3,McDonald's
34697,52.50945030000001,13.4350018,2021-01-01,place_31,McDonald's
25934,52.5095,13.43516,2021-01-01,place_31,McDonald's
25934,52.50951,13.43516,2021-01-01,place_31,McDonald's
25934,52.5095,13.43516,2021-01-01,place_196,Rewe
25934,52.50951,13.43516,2021-01-01,place_196,Rewe
6621,52.509486,13.435077,2021-01-13,place_31,McDonald's
6621,52.509719,13.435324,2021-01-05,place_196,Rewe
6621,52.509514,13.43507,2021-01-05,place_196,Rewe
6621,52.509586,13.435047,2021-01-05,place_196,Rewe
6621,52.50956,13.434966,2021-01-13,place_196,Rewe
6621,52.509486,13.435077,2021-01-13,place_196,Rewe
6621,52.52586,13.368197,2021-01-14,place_33,McDonald's
42195,52.5094921,13.434953699999998,2021-01-18,place_31,McDonald's
42195,52.5096008,13.434869,2021-01-09,place_196,Rewe
2479,52.509375,13.4351633,2021-01-19,place_31,McDonald's
46137,52.49835,13.52125,2021-01-01,place_148,Rewe
46137,52.49836,13.52126,2021-01-01,place_148,Rewe
46137,52.49851,13.52151,2021-01-06,place_148,Rewe
46137,52.49839,13.52125,2021-01-09,place_148,Rewe
